p1	p2	n	r	p.value
protein153	protein255	4	0.0532299512539603	0.842
protein154	protein255	4	0.985201937559723	0.069
protein155	protein255	4	0.999999999877623	0.004
protein156	protein255	4	0.999999999988252	0.003
protein169	protein255	4	0.999999999953546	0.004
protein253	protein255	4	0.999999999905581	0.004
protein153	protein256	4	0.0532299512539603	0.842
protein154	protein256	4	0.985201937559723	0.069
protein155	protein256	4	0.999999999877623	0.004
protein156	protein256	4	0.999999999988252	0.003
protein169	protein256	4	0.999999999953546	0.004
protein253	protein256	4	0.999999999905581	0.004
protein100	protein257	4	-0.363226971449222	0.964
protein101	protein257	4	0.347016591141043	0.702
protein102	protein257	4	0.34701659114143	0.702
protein103	protein257	4	0.107067310768529	0.792
protein105	protein257	4	0.607197338775603	0.541
protein106	protein257	4	0.311791075331602	0.713
protein107	protein257	4	0.723857605075663	0.49
protein108	protein257	4	0.302583291742698	0.718
protein109	protein257	4	0.882795735216007	0.338
protein10	protein257	4	0.342966306519201	0.704
protein110	protein257	4	0.347016590861489	0.702
protein111	protein257	4	0.347016591108341	0.702
protein112	protein257	4	0.347016591107165	0.702
protein113	protein257	4	-0.533201554562571	0.988
protein114	protein257	4	-0.532212371494525	0.988
protein115	protein257	4	0.347016591041249	0.702
protein116	protein257	4	0.347016590991374	0.702
protein117	protein257	4	0.347016591088265	0.702
protein11	protein257	4	0.347016591118018	0.702
protein121	protein257	4	0.347016591135059	0.702
protein122	protein257	4	0.347016591137714	0.702
protein123	protein257	4	0.799965646933224	0.409
protein124	protein257	4	0.347016591024773	0.702
protein125	protein257	4	0.347016591141214	0.702
protein126	protein257	4	-0.668050608364918	0.994
protein127	protein257	4	0.347016591141291	0.702
protein128	protein257	4	0.339971247045785	0.704
protein129	protein257	4	0.335314385857722	0.705
protein12	protein257	4	0.347016591117404	0.702
protein130	protein257	4	0.30657114716268	0.717
protein131	protein257	4	0.347016591121377	0.702
protein132	protein257	4	0.347016591091843	0.702
protein135	protein257	4	0.347016591124084	0.702
protein136	protein257	4	0.34701659113901	0.702
protein137	protein257	4	0.347016591101699	0.702
protein138	protein257	4	0.347016591095418	0.702
protein139	protein257	4	0.347016591102377	0.702
protein13	protein257	4	0.347016591126797	0.702
protein140	protein257	4	0.347016591108526	0.702
protein141	protein257	4	0.347016591102441	0.702
protein142	protein257	4	0.347016591095025	0.702
protein143	protein257	4	0.347016591103103	0.702
protein144	protein257	4	0.347016589335684	0.702
protein145	protein257	4	0.884186421725042	0.333
protein146	protein257	4	0.347016591092209	0.702
protein149	protein257	4	0.347016591096332	0.702
protein14	protein257	4	0.347016591071068	0.702
protein150	protein257	4	0.347016591115333	0.702
protein151	protein257	4	0.347016591110634	0.702
protein152	protein257	4	-0.23002934777961	0.935
