p1	p2	n	r	p.value
protein117	protein55	16	0.103022985722932	0.842
protein11	protein55	16	0.501720844211558	0.166
protein121	protein55	16	0.0822360157641268	0.864
protein122	protein55	16	0.685694659400557	0.041
protein123	protein55	16	0.497678050574353	0.169
protein124	protein55	16	0.286888111111164	0.488
protein125	protein55	16	0.276238639251728	0.516
protein126	protein55	15	0.247075964530679	0.586
protein127	protein55	16	0.64250260287399	0.064
protein128	protein55	15	0.35813774449839	0.369
protein129	protein55	15	0.355594510494754	0.37
protein12	protein55	16	0.60543828325364	0.091
protein130	protein55	15	0.344799004749038	0.386
protein131	protein55	16	0.139633414293017	0.777
protein132	protein55	16	0.685140983526763	0.041
protein135	protein55	16	0.245240272292046	0.589
protein136	protein55	16	0.144196918216239	0.771
protein138	protein55	16	0.449595774646555	0.239
protein139	protein55	16	0.167708548866673	0.733
protein13	protein55	16	0.271842401015808	0.523
protein140	protein55	16	0.209623075077633	0.651
protein141	protein55	16	0.150097946467651	0.762
protein142	protein55	15	0.458871207481479	0.222
protein143	protein55	16	0.0841196369071092	0.861
protein144	protein55	16	0.509414425863647	0.161
protein145	protein55	16	0.446874065369078	0.242
protein146	protein55	16	0.646883294691658	0.061
protein14	protein55	16	-0.0455612540352439	0.962
protein150	protein55	16	0.268128827616171	0.535
protein151	protein55	16	0.192905114885619	0.686
protein152	protein55	16	0.576634035697571	0.104
protein153	protein55	15	0.641414515173849	0.065
protein154	protein55	15	0.250587664066999	0.58
protein155	protein55	15	0.227434234893403	0.61
protein156	protein55	15	0.208270160304406	0.652
protein157	protein55	16	0.17395279125842	0.719
protein158	protein55	16	0.101891131750025	0.843
protein159	protein55	16	0.0894096220891451	0.856
protein15	protein55	16	0.185601330638167	0.695
protein160	protein55	16	0.363177370196349	0.361
protein161	protein55	16	0.434133974046147	0.264
protein162	protein55	16	0.345662481229284	0.385
protein163	protein55	16	0.407753413210755	0.289
protein164	protein55	16	0.4451724534536	0.246
protein165	protein55	16	0.401341906677793	0.301
protein166	protein55	16	0.468227451224666	0.205
protein167	protein55	16	0.613961744659883	0.085
protein168	protein55	15	0.220289179472165	0.627
protein16	protein55	16	-0.089506494005701	0.983
protein170	protein55	16	0.530015863602664	0.145
protein171	protein55	16	0.16474064264949	0.742
protein172	protein55	15	-0.00398214285588623	0.947
protein173	protein55	16	0.149237209174892	0.763
protein174	protein55	16	-0.0850014929206205	0.981
protein175	protein55	16	0.689392347837852	0.041
protein176	protein55	16	0.689389345244757	0.041
protein178	protein55	16	0.359056617419635	0.369
protein179	protein55	16	0.683471532734289	0.042
protein17	protein55	16	0.113355562599769	0.821
protein181	protein55	16	0.0995411990797862	0.845
protein182	protein55	16	0.285059547642647	0.493
protein183	protein55	16	0.392697216018857	0.313
protein184	protein55	16	0.625663040039074	0.072
protein185	protein55	16	0.658160646685548	0.053
protein186	protein55	16	-0.114176184320642	0.991
protein187	protein55	15	0.290305160246854	0.483
protein188	protein55	16	-0.136803966697502	0.994
protein189	protein55	16	0.662170837789021	0.052
protein18	protein55	16	0.0995702024951788	0.845
protein190	protein55	15	0.63380506520641	0.07
protein191	protein55	16	0.253001786550975	0.574
protein192	protein55	16	0.355571312730242	0.37
protein193	protein55	16	-0.136193590796826	0.994
protein194	protein55	15	0.637071809732845	0.068
protein195	protein55	15	0.656767153508494	0.054
protein196	protein55	16	0.623608587467384	0.074
protein197	protein55	15	0.0521035019205627	0.908
protein198	protein55	16	0.582015215106614	0.103
protein199	protein55	16	0.536336086569385	0.132
protein19	protein55	16	0.112972620546045	0.821
protein1	protein55	16	0.17395279125842	0.719
protein200	protein55	16	0.583411547945469	0.103
protein201	protein55	16	0.631583653888643	0.071
protein202	protein55	16	0.569986502957271	0.107
protein203	protein55	16	0.452040404159768	0.236
protein204	protein55	16	0.335327771920607	0.394
protein205	protein55	16	-0.0290045552589769	0.958
protein206	protein55	16	0.224797144273491	0.615
protein207	protein55	16	0.0129045717075029	0.942
protein208	protein55	16	0.113045196435204	0.821
protein209	protein55	16	0.538267054035653	0.13
protein20	protein55	16	0.621624263233431	0.075
protein210	protein55	16	0.153595440827105	0.76
protein211	protein55	15	0.380773722738912	0.336
protein212	protein55	15	0.419416655260146	0.277
protein213	protein55	16	0.203636180428228	0.665
protein214	protein55	15	0.112284620483564	0.823
protein215	protein55	16	0.647966930771571	0.06
protein216	protein55	16	0.0906263096375533	0.854
protein217	protein55	15	0.330009394691914	0.401
protein219	protein55	16	0.340841425802071	0.389
protein21	protein55	16	0.0422119025599761	0.92
protein220	protein55	16	-0.144713806351508	0.995
protein221	protein55	16	-0.215649190721758	0.997
protein222	protein55	16	0.117439054211767	0.817
protein225	protein55	16	0.37249706340271	0.343
protein226	protein55	16	0.597693342939925	0.096
protein227	protein55	16	0.617723924818961	0.078
protein228	protein55	16	0.508938506321234	0.161
protein229	protein55	16	0.526605943642626	0.149
protein22	protein55	16	0.0668009482045016	0.889
protein230	protein55	16	0.330734070435393	0.401
protein231	protein55	15	-0.05985445241676	0.965
protein232	protein55	15	-0.0570640872866006	0.963
protein233	protein55	15	-0.0815359290746078	0.979
protein234	protein55	15	-0.0436741038598609	0.962
protein235	protein55	15	-0.0625057717749538	0.965
protein236	protein55	15	-0.152916710199697	0.997
protein237	protein55	15	-0.161808767211969	0.997
protein238	protein55	15	-0.175883489466715	0.997
protein239	protein55	16	-0.0320199987282014	0.961
protein23	protein55	16	-0.119005134124922	0.991
protein240	protein55	15	-0.148075341747091	0.995
protein241	protein55	15	-0.0407423928986129	0.962
protein242	protein55	15	-0.150734530899879	0.996
protein243	protein55	15	-0.190461991450062	0.997
protein244	protein55	16	0.00817521155755416	0.942
protein245	protein55	16	0.687201048841571	0.041
protein246	protein55	16	-0.11396240801594	0.991
protein247	protein55	16	-0.108545863981398	0.988
protein248	protein55	16	-0.10876981312044	0.988
protein249	protein55	16	-0.113093828061986	0.991
protein24	protein55	16	0.240781120532365	0.593
protein250	protein55	16	0.619919166278814	0.075
protein251	protein55	16	0.145943863301085	0.767
protein252	protein55	16	0.436612494822657	0.26
protein25	protein55	16	0.546993222700336	0.126
protein266	protein55	16	0.0233183389634348	0.935
protein267	protein55	16	0.107660447154638	0.834
protein268	protein55	16	0.156907970582006	0.753
protein26	protein55	16	0.703482773699044	0.038
protein27	protein55	16	0.217810978733167	0.633
protein28	protein55	16	-0.177975341004084	0.997
protein29	protein55	16	0.155290825046563	0.754
protein30	protein55	15	0.0212772313388446	0.937
protein33	protein55	16	-0.178858081601125	0.997
protein34	protein55	16	0.580704619672655	0.103
protein35	protein55	16	0.699748709251494	0.039
protein36	protein55	16	0.14279661361949	0.773
protein37	protein55	16	-0.0623323002375987	0.965
protein38	protein55	16	-0.0811700337763791	0.979
protein39	protein55	16	0.611423713953727	0.087
protein3	protein55	16	0.518733325057954	0.154
protein40	protein55	16	0.239718475941225	0.594
protein41	protein55	16	0.541155889960056	0.129
protein42	protein55	16	-0.170211051373791	0.997
protein43	protein55	16	-0.133022364499266	0.993
protein44	protein55	16	-0.0962400857596672	0.984
protein45	protein55	16	-0.171826391121694	0.997
protein46	protein55	16	0.0683656480377523	0.886
protein47	protein55	16	0.0634300225378242	0.891
protein48	protein55	16	0.0955420718715664	0.849
protein49	protein55	16	0.482918309795673	0.191
protein4	protein55	16	0.46971296060385	0.204
protein50	protein55	16	0.229311881669422	0.608
protein51	protein55	16	0.460350928411475	0.218
protein52	protein55	16	0.526937446905641	0.148
protein53	protein55	16	0.413204025741413	0.285
protein54	protein55	16	0.397959560122681	0.307
protein100	protein56	16	0.199777188093803	0.675
protein101	protein56	16	0.608028667223539	0.089
protein102	protein56	16	0.628335871863595	0.072
protein103	protein56	16	0.204793499889396	0.662
protein105	protein56	16	0.0891448849405022	0.857
protein106	protein56	16	0.186037530995398	0.695
protein107	protein56	15	-0.0857474926225388	0.981
protein108	protein56	16	0.162481325987453	0.745
protein109	protein56	16	0.0952968374747538	0.849
protein10	protein56	16	0.922834261470568	0
protein110	protein56	16	0.759675034169766	0.012
protein111	protein56	16	0.202248253084098	0.669
protein112	protein56	16	0.151204034803889	0.762
protein113	protein56	16	0.0751759539314385	0.877
protein115	protein56	16	0.911725530549344	0
protein116	protein56	16	0.666110040165891	0.05
protein117	protein56	16	0.322065795807068	0.422
protein11	protein56	16	0.776650407531617	0.01
protein121	protein56	16	0.332710410400582	0.397
protein122	protein56	16	0.856610569076908	0.001
protein123	protein56	16	0.332668033308581	0.397
protein124	protein56	16	0.478488277591941	0.198
protein125	protein56	16	0.522279736846151	0.15
protein126	protein56	15	0.725116224963946	0.025
protein127	protein56	16	0.848306378897693	0.002
protein128	protein56	15	0.553263747224791	0.125
protein129	protein56	15	0.565002801199108	0.11
protein12	protein56	16	0.800249662775104	0.009
protein130	protein56	15	0.552368417715845	0.125
protein131	protein56	16	0.323619059948726	0.419
protein132	protein56	16	0.875355319833464	0.001
protein135	protein56	16	0.587217553956341	0.102
protein136	protein56	16	0.102993721909093	0.842
protein138	protein56	16	0.749603983614874	0.015
protein139	protein56	16	0.277787529567683	0.512
protein13	protein56	16	0.313546508126173	0.431
protein140	protein56	16	0.384073275267364	0.331
protein141	protein56	16	0.28027016808353	0.506
protein142	protein56	15	0.603527118382361	0.093
protein143	protein56	16	0.149512291866624	0.762
protein144	protein56	16	0.812094678176195	0.007
protein145	protein56	16	0.326414269859344	0.412
protein146	protein56	16	0.825007696820103	0.004
protein14	protein56	16	0.263199244873924	0.546
protein150	protein56	16	0.621632849594697	0.075
protein151	protein56	16	0.527587018629367	0.148
protein152	protein56	16	0.756062858170453	0.013
protein153	protein56	15	0.680376379495543	0.045
protein154	protein56	15	0.486292900805654	0.185
protein155	protein56	15	0.474272430012414	0.2
protein156	protein56	15	0.456326239102713	0.23
protein157	protein56	16	0.297836577133418	0.465
protein158	protein56	16	0.280515792607989	0.505
protein159	protein56	16	0.395928447973875	0.31
protein15	protein56	16	0.452175006092084	0.236
protein160	protein56	16	0.355172618725198	0.371
protein161	protein56	16	0.537839819540918	0.13
protein162	protein56	16	0.549051360738411	0.125
protein163	protein56	16	0.560260813053073	0.114
protein164	protein56	16	0.606153007561692	0.09
protein165	protein56	16	0.625836865780596	0.072
protein166	protein56	16	0.673357456195828	0.046
protein167	protein56	16	0.786909081890442	0.01
protein168	protein56	15	0.303975805113949	0.452
protein16	protein56	16	0.162294787645184	0.746
protein170	protein56	16	0.48531454204161	0.186
protein171	protein56	16	0.0986048179815864	0.845
protein172	protein56	15	0.326847657528055	0.412
protein173	protein56	16	0.24147035607504	0.593
protein174	protein56	16	0.0424920833312495	0.92
protein175	protein56	16	0.813772450324937	0.006
protein176	protein56	16	0.814078372796027	0.006
protein178	protein56	16	0.441220559038039	0.255
protein179	protein56	16	0.831570731140429	0.003
protein17	protein56	16	0.417379687425968	0.278
protein181	protein56	16	0.197735433369465	0.677
protein182	protein56	16	0.222101399226172	0.622
protein183	protein56	16	0.417565302727868	0.278
protein184	protein56	16	0.861647079017344	0.001
protein185	protein56	16	0.865913246593049	0.001
protein186	protein56	16	-0.0729647120919011	0.971
protein187	protein56	15	0.264179960547301	0.546
protein188	protein56	16	-0.154808245425604	0.997
protein189	protein56	16	0.899036722895017	0
protein18	protein56	16	0.409054764451911	0.289
protein190	protein56	15	0.869863111980539	0.001
protein191	protein56	16	0.382986879060703	0.333
protein192	protein56	16	0.129125688279479	0.801
protein193	protein56	16	-0.0642708384364968	0.967
protein194	protein56	15	0.876472552039838	0.001
protein195	protein56	15	0.883203704860685	0.001
protein196	protein56	16	0.922834261470568	0
protein197	protein56	15	0.682187229475538	0.044
protein198	protein56	16	0.474297406552364	0.2
protein199	protein56	16	0.491405253132169	0.175
protein19	protein56	16	0.415831682121056	0.279
protein1	protein56	16	0.297836577133418	0.465
protein200	protein56	16	0.47485822812157	0.199
protein201	protein56	16	0.534380317782134	0.14
protein202	protein56	16	0.525685839370345	0.149
protein203	protein56	16	0.47140851685375	0.202
protein204	protein56	16	0.119551978965437	0.814
protein205	protein56	16	0.0835912358019569	0.863
protein206	protein56	16	0.368420745510901	0.348
protein207	protein56	16	0.136144899999973	0.786
protein208	protein56	16	0.323178792267551	0.419
protein209	protein56	16	0.847424722804378	0.002
protein20	protein56	16	0.922874610292117	0
protein210	protein56	16	0.296949220458532	0.468
protein211	protein56	15	0.843641519867401	0.002
protein212	protein56	15	0.904503708338093	0
protein213	protein56	16	0.330682870443896	0.401
protein214	protein56	15	0.65699993561316	0.054
protein215	protein56	16	0.774301638587791	0.01
protein216	protein56	16	0.506356532114682	0.163
protein217	protein56	15	0.745503391045425	0.018
protein219	protein56	16	0.838466143416287	0.003
protein21	protein56	16	0.221734353482125	0.623
protein220	protein56	16	-0.0473801146252165	0.962
protein221	protein56	16	-0.151285365311703	0.996
protein222	protein56	16	0.176196059262531	0.716
protein225	protein56	16	0.392566245740137	0.313
protein226	protein56	16	0.890601576135444	0
protein227	protein56	16	0.927703357289488	0
protein228	protein56	16	0.78016949738959	0.01
protein229	protein56	16	0.770036119716539	0.011
protein22	protein56	16	0.29922821142262	0.462
protein230	protein56	16	0.493444799123842	0.173
protein231	protein56	15	0.363018583841935	0.361
protein232	protein56	15	0.363619861627599	0.358
protein233	protein56	15	0.305752557219656	0.449
protein234	protein56	15	0.382445599109171	0.334
protein235	protein56	15	0.31241886128213	0.432
protein236	protein56	15	0.177779501831345	0.716
protein237	protein56	15	0.155249707453247	0.754
protein238	protein56	15	0.129020267900092	0.801
protein239	protein56	16	-0.0591718115197723	0.965
protein23	protein56	16	0.0680970478859899	0.887
protein240	protein56	15	0.258524532217375	0.557
protein241	protein56	15	0.258247144079265	0.558
protein242	protein56	15	0.19472642678382	0.683
protein243	protein56	15	0.180920765942836	0.707
protein244	protein56	16	0.109854864829549	0.828
protein245	protein56	16	0.788828581014769	0.01
protein246	protein56	16	-0.1465934546978	0.995
protein247	protein56	16	-0.134967718757407	0.993
protein248	protein56	16	-0.137023048314913	0.994
protein249	protein56	16	-0.137603110542916	0.994
protein24	protein56	16	0.147689251051658	0.765
protein250	protein56	16	0.730012902206923	0.023
protein251	protein56	16	0.445997856473245	0.243
protein252	protein56	16	0.688626957086465	0.041
protein25	protein56	16	0.870854359149002	0.001
protein266	protein56	16	0.279405110155581	0.509
protein267	protein56	16	0.421015225030934	0.276
protein268	protein56	16	0.352843002288073	0.375
protein26	protein56	16	0.832841398939136	0.003
protein27	protein56	16	0.414126961605818	0.282
protein28	protein56	16	-0.222727962661584	0.999
protein29	protein56	16	0.23473394196014	0.597
protein30	protein56	15	0.350930295265136	0.378
protein33	protein56	16	-0.225633582000395	0.999
protein34	protein56	16	0.902004475842227	0
protein35	protein56	16	0.866335956082024	0.001
protein36	protein56	16	0.350289066147783	0.378
protein37	protein56	16	-0.000124876094606567	0.947
protein38	protein56	16	0.288518102728688	0.486
protein39	protein56	16	0.67093505678163	0.048
protein3	protein56	16	0.893902054900376	0
protein40	protein56	16	0.3175365538525	0.427
protein41	protein56	16	0.371778569551251	0.343
protein42	protein56	16	-0.228618722982679	0.999
protein43	protein56	16	0.12886640152272	0.801
protein44	protein56	16	-0.0376541877586011	0.962
protein45	protein56	16	-0.2235259182878	0.999
protein46	protein56	16	0.214811881176976	0.641
protein47	protein56	16	0.21161042972192	0.65
protein48	protein56	16	0.258235178366288	0.558
protein49	protein56	16	0.723510810860788	0.028
protein4	protein56	16	0.59126620525138	0.1
protein50	protein56	16	0.428141378468782	0.268
protein51	protein56	16	0.751247969176462	0.015
protein52	protein56	16	0.812369665598501	0.007
protein53	protein56	16	0.64002419337395	0.065
protein54	protein56	16	0.661386438970125	0.052
protein55	protein56	16	0.611500097178116	0.087
protein105	protein57	16	0.247186120588387	0.585
protein107	protein57	15	-0.0615982681644728	0.965
protein108	protein57	16	0.273571060529934	0.522
protein109	protein57	16	0.306102503295959	0.447
protein117	protein57	16	0.262445927072489	0.546
protein122	protein57	16	0.972299065140599	0
protein126	protein57	16	0.562257816620778	0.114
protein128	protein57	16	0.44253535665324	0.252
protein129	protein57	16	0.583382047998635	0.103
protein130	protein57	16	0.62825099527077	0.072
protein133	protein57	15	0.895668413116756	0
protein134	protein57	15	0.895668413116756	0
protein142	protein57	15	0.698876177392402	0.039
protein143	protein57	16	0.23749781635882	0.596
protein144	protein57	16	0.790203645954186	0.01
protein146	protein57	16	0.954654297558869	0
protein150	protein57	16	0.596084090050798	0.096
protein151	protein57	16	0.458698768956025	0.223
protein152	protein57	16	0.830807670883972	0.003
protein153	protein57	16	0.223235037772832	0.619
protein154	protein57	16	0.765075372677454	0.011
protein155	protein57	15	0.275126230117172	0.517
protein156	protein57	16	0.761697857951167	0.012
protein158	protein57	16	0.0202025343750804	0.937
protein161	protein57	16	0.582832360629942	0.103
protein168	protein57	16	0.465344346151919	0.208
protein171	protein57	16	0.242992853593878	0.592
protein172	protein57	15	0.441854408913647	0.252
protein173	protein57	16	0.373768592905013	0.343
protein180	protein57	15	0.893701790674487	0
protein181	protein57	16	0.257475550626461	0.561
protein183	protein57	16	0.586595594531217	0.102
protein187	protein57	16	0.737352177055694	0.019
protein190	protein57	15	0.959375523450115	0
protein192	protein57	16	0.341526340629368	0.388
protein194	protein57	15	0.952154282750688	0
protein195	protein57	15	0.960420261009189	0
protein197	protein57	16	0.378739664517726	0.337
protein204	protein57	16	0.376915820317725	0.34
protein207	protein57	16	0.163799540268716	0.744
protein211	protein57	15	0.884068510931793	0.001
protein212	protein57	15	0.902152979196958	0
protein214	protein57	16	0.263443647052564	0.546
protein216	protein57	16	0.326286421329477	0.414
protein217	protein57	15	0.656299166878192	0.055
protein219	protein57	16	0.550800962803927	0.125
protein223	protein57	15	0.25728753974948	0.562
protein224	protein57	15	0.232245256898604	0.605
protein229	protein57	16	0.760047017536773	0.012
protein231	protein57	16	0.934216702742543	0
protein232	protein57	16	0.936539502586205	0
protein233	protein57	16	0.938438903093818	0
protein234	protein57	16	0.942389371836	0
protein235	protein57	15	0.340283061303967	0.389
protein236	protein57	16	0.912707665431596	0
protein237	protein57	16	0.909670633796476	0
protein238	protein57	16	0.889786728734359	0
protein240	protein57	16	0.928885525441288	0
protein241	protein57	15	0.285998827221687	0.49
protein242	protein57	15	0.264496762544714	0.546
protein243	protein57	15	0.224144773320179	0.617
protein24	protein57	16	0.386235115828744	0.324
protein250	protein57	16	0.809348164387154	0.008
protein252	protein57	16	0.749301663486767	0.015
protein26	protein57	16	0.992208438662461	0
protein30	protein57	16	0.0233018688346027	0.935
protein34	protein57	16	0.861512532469152	0.001
protein35	protein57	16	0.979802747724084	0
protein3	protein57	16	0.771432391356058	0.011
protein49	protein57	16	0.764202547893499	0.011
protein50	protein57	16	0.558383229791378	0.119
protein51	protein57	16	0.786273099909682	0.01
protein52	protein57	16	0.834909071088238	0.003
protein53	protein57	16	0.667925614827883	0.048
protein54	protein57	16	0.630135707549612	0.072
protein55	protein57	16	0.687201048841571	0.041
protein56	protein57	16	0.788828581014769	0.01
protein105	protein58	16	0.252357316541442	0.578
protein107	protein58	15	-0.0116820341459155	0.95
protein108	protein58	16	0.284749590997382	0.493
protein109	protein58	16	0.290044836435403	0.483
protein117	protein58	16	0.28545771981795	0.493
protein122	protein58	16	0.978962300339314	0
protein126	protein58	16	0.554627815313979	0.123
protein128	protein58	16	0.430318249831877	0.266
protein129	protein58	16	0.584454360052788	0.102
protein130	protein58	16	0.61792878832781	0.078
protein133	protein58	15	0.882808612922184	0.001
protein134	protein58	15	0.882808612922184	0.001
protein142	protein58	15	0.698140397588672	0.039
protein143	protein58	16	0.246558415819903	0.587
protein144	protein58	16	0.813310791319727	0.006
protein146	protein58	16	0.959663522748905	0
protein150	protein58	16	0.614537472160948	0.083
protein151	protein58	16	0.48710681650464	0.183
protein152	protein58	16	0.836168170841985	0.003
protein153	protein58	16	0.18701028762011	0.694
protein154	protein58	16	0.779042084417714	0.01
protein155	protein58	15	0.291888360069167	0.482
protein156	protein58	16	0.772830923199992	0.011
protein158	protein58	16	0.0217797165416909	0.937
protein161	protein58	16	0.585578018326208	0.102
protein168	protein58	16	0.457835934621207	0.224
protein171	protein58	16	0.248406393863938	0.583
protein172	protein58	15	0.441734208881226	0.252
protein173	protein58	16	0.382615513350229	0.334
protein180	protein58	15	0.880657736136813	0.001
protein181	protein58	16	0.272265856044876	0.523
protein183	protein58	16	0.577806744436312	0.103
protein187	protein58	16	0.742420537412778	0.019
protein190	protein58	15	0.965119276395249	0
protein192	protein58	16	0.328630095792623	0.408
protein194	protein58	15	0.95718374166673	0
protein195	protein58	15	0.96544406217945	0
protein197	protein58	16	0.373482427796132	0.343
protein204	protein58	16	0.361041066661482	0.367
protein207	protein58	16	0.182028503204772	0.702
protein211	protein58	15	0.886340612948853	0.001
protein212	protein58	15	0.91424254574921	0
protein214	protein58	16	0.252097691507085	0.578
protein216	protein58	16	0.341217911237931	0.389
protein217	protein58	15	0.663865926395427	0.05
protein219	protein58	16	0.582829896159586	0.103
protein223	protein58	15	0.263971241842956	0.546
protein224	protein58	15	0.240682490317156	0.593
protein229	protein58	16	0.769613423072017	0.011
protein231	protein58	16	0.934349090283383	0
protein232	protein58	16	0.93713155293057	0
protein233	protein58	16	0.940144503821154	0
protein234	protein58	16	0.943525853753006	0
protein235	protein58	15	0.362890905340758	0.361
protein236	protein58	16	0.914069357530381	0
protein237	protein58	16	0.911854332990918	0
protein238	protein58	16	0.892881882236968	0
protein240	protein58	16	0.931549834137144	0
protein241	protein58	15	0.301538933310757	0.457
protein242	protein58	15	0.279853280814604	0.509
protein243	protein58	15	0.248319291589419	0.583
protein24	protein58	16	0.38107097478272	0.335
protein250	protein58	16	0.811790944296727	0.007
protein252	protein58	16	0.74748192243787	0.017
protein26	protein58	16	0.993289065365312	0
protein30	protein58	16	0.0151179493424933	0.939
protein34	protein58	16	0.873893288574981	0.001
protein35	protein58	16	0.983544151390527	0
protein3	protein58	16	0.791281779225465	0.01
protein49	protein58	16	0.779432886788202	0.01
protein50	protein58	16	0.555449999076133	0.12
protein51	protein58	16	0.791114976104331	0.01
protein52	protein58	16	0.852966036669988	0.001
protein53	protein58	16	0.65636450096533	0.055
protein54	protein58	16	0.638774101732803	0.067
protein55	protein58	16	0.680090768828784	0.045
protein56	protein58	16	0.8081842021935	0.008
protein100	protein59	16	0.185799591349811	0.695
protein101	protein59	16	0.037430230971081	0.924
protein102	protein59	16	0.0254904823077045	0.934
protein103	protein59	16	0.23377157519218	0.601
protein105	protein59	16	-0.409589197498241	1
protein106	protein59	16	-0.275593425059702	1
protein107	protein59	15	-0.13898631072387	0.994
protein108	protein59	16	-0.28590015138703	1
protein109	protein59	16	-0.35319581561618	1
protein10	protein59	16	0.239119800734513	0.594
protein110	protein59	16	-0.0310576683938636	0.961
protein111	protein59	16	-0.172782418797252	0.997
protein112	protein59	16	-0.180026885624753	0.997
protein113	protein59	16	0.0583337019959112	0.899
protein115	protein59	16	0.196296173526366	0.678
protein116	protein59	16	-0.174455807741663	0.997
protein117	protein59	16	0.289902610815193	0.483
protein11	protein59	16	0.379907097971164	0.337
protein121	protein59	16	-0.0168739991127691	0.951
protein122	protein59	16	0.00972155239685936	0.942
protein123	protein59	16	-0.189506758534763	0.997
protein124	protein59	16	0.0529326778395562	0.906
protein125	protein59	16	0.343430553012775	0.386
protein126	protein59	15	0.555954449016987	0.119
protein127	protein59	16	0.117594797630865	0.817
protein128	protein59	15	0.0516965065794722	0.909
protein129	protein59	15	0.0417478366092535	0.92
protein12	protein59	16	0.228939711689115	0.609
protein130	protein59	15	0.0389068024075438	0.924
protein131	protein59	16	-0.0205221790448455	0.954
protein132	protein59	16	0.170195834766444	0.729
protein135	protein59	16	0.107147847750487	0.836
protein136	protein59	16	-0.257225207662271	1
protein138	protein59	16	0.164243715476216	0.742
protein139	protein59	16	-0.20958892658921	0.997
protein13	protein59	16	-0.0523948528955136	0.962
protein140	protein59	16	-0.175831074417289	0.997
protein141	protein59	16	-0.20618478138048	0.997
protein142	protein59	15	0.135395756256548	0.79
protein143	protein59	16	-0.289891079986405	1
protein144	protein59	16	0.0635972449073773	0.891
protein145	protein59	16	-0.0197477132965384	0.951
protein146	protein59	16	0.0555197929134141	0.902
protein14	protein59	16	0.0880954567159593	0.857
protein150	protein59	16	0.342310439799337	0.387
protein151	protein59	16	0.325376116422788	0.417
protein152	protein59	16	0.0517064961856733	0.909
protein153	protein59	15	0.0216324157006463	0.937
protein154	protein59	15	-0.0258027652669722	0.958
protein155	protein59	15	-0.0182995439584899	0.951
protein156	protein59	15	-0.0131102933956253	0.95
protein157	protein59	16	0.11871779009308	0.814
protein158	protein59	16	0.175923516888328	0.716
protein159	protein59	16	0.0739317072724702	0.877
protein15	protein59	16	0.157579193543177	0.753
protein160	protein59	16	-0.169615239030836	0.997
protein161	protein59	16	0.0729487395143751	0.877
protein162	protein59	16	-0.0011721729921638	0.947
protein163	protein59	16	0.0732974154363683	0.877
protein164	protein59	16	0.122515665864856	0.81
protein165	protein59	16	0.00113333660716241	0.946
protein166	protein59	16	0.0364184391716943	0.926
protein167	protein59	16	0.0917205334645374	0.853
protein168	protein59	15	0.0222249991102178	0.935
protein16	protein59	16	0.223773315822473	0.618
protein170	protein59	16	-0.269385575288624	1
protein171	protein59	16	-0.40780607148217	1
protein172	protein59	15	0.363271803073595	0.361
protein173	protein59	16	-0.211351387431477	0.997
protein174	protein59	16	0.140044495326227	0.777
protein175	protein59	16	-0.022473190981125	0.956
protein176	protein59	16	-0.022050008921345	0.956
protein178	protein59	16	-0.153249037356122	0.997
protein179	protein59	16	0.0323085835220715	0.93
protein17	protein59	16	0.314598808216892	0.429
protein181	protein59	16	-0.226599314517822	0.999
protein182	protein59	16	-0.380949309321896	1
protein183	protein59	16	-0.178729859059282	0.997
protein184	protein59	16	0.157139237436321	0.753
protein185	protein59	16	0.102520181669064	0.842
protein186	protein59	16	0.342346692450536	0.387
protein187	protein59	15	0.265596967233588	0.543
protein188	protein59	16	-0.208811259795996	0.997
protein189	protein59	16	0.0481513809046042	0.913
protein18	protein59	16	0.199531242653656	0.675
protein190	protein59	15	0.0981663318353166	0.846
protein191	protein59	16	-0.0849548157344327	0.981
protein192	protein59	16	-0.408901182533519	1
protein193	protein59	16	-0.185904371481983	0.997
protein194	protein59	15	0.109880008670197	0.828
protein195	protein59	15	0.100039627773543	0.845
protein196	protein59	16	0.239119800734513	0.594
protein197	protein59	15	0.0747589073310222	0.877
protein198	protein59	16	-0.276642419314368	1
protein199	protein59	16	-0.255886305197177	1
protein19	protein59	16	0.313108321566721	0.431
protein1	protein59	16	0.11871779009308	0.814
protein200	protein59	16	-0.287310993283505	1
protein201	protein59	16	-0.263705999704407	1
protein202	protein59	16	-0.222094656681624	0.999
protein203	protein59	16	-0.0859365148165873	0.981
protein204	protein59	16	-0.379658771827298	1
protein205	protein59	16	-0.0880526639415457	0.983
protein206	protein59	16	0.00164608057084265	0.945
protein207	protein59	16	-0.111477821207749	0.991
protein208	protein59	16	0.10786939971666	0.833
protein209	protein59	16	0.229594500100273	0.608
protein20	protein59	16	0.240848512625273	0.593
protein210	protein59	16	-0.115612338591599	0.991
protein211	protein59	15	0.528965816213648	0.146
protein212	protein59	15	0.510348757717265	0.161
protein213	protein59	16	-0.147196375508792	0.995
protein214	protein59	15	0.16698535279077	0.736
protein215	protein59	16	0.137019843331762	0.785
protein216	protein59	16	0.287110563968683	0.488
protein217	protein59	15	0.220520808237291	0.627
protein219	protein59	16	0.429274415201978	0.268
protein21	protein59	16	-0.149574493153385	0.996
protein220	protein59	16	0.305416948864061	0.449
protein221	protein59	16	0.158378412626205	0.752
protein222	protein59	16	0.104835934685569	0.836
protein225	protein59	16	0.0203871852648483	0.937
protein226	protein59	16	0.193173025372931	0.686
